id,user_id,date,from_address,to_address,program,purpose,miles,route_url,static_map_url,created_at,updated_at
7c7b363b-d307-4600-bdd0-9be886d397e9,4a109fda-4764-4495-b42c-584df3022e56,2026-01-22,1900 N Gateway Blvd  Fresno, CA, 93727,2995 R St. Merced, CA, 95348,013-032 CA Merced SSVF,Pick up Laptop's and [...]
e175a159-df34-4c77-b442-b3db7bb75903,4a109fda-4764-4495-b42c-584df3022e56,2026-01-22,2995 R St. Merced, CA, 95348,1900 N Gateway Blvd  Fresno, CA, 93727,015-000 CA Fresno Admin,trip back to admin,6[...]
bbf11999-8f10-4731-902c-2adaabdffc71,4a109fda-4764-4495-b42c-584df3022e56,2026-01-02,1900 N Gateway Blvd  Fresno, CA, 93727,119 N Calaveras St Fresno, CA 93701,015-104 CA Fresno Vet's Plaza,Install[...]
d9cdf85f-7aac-4d38-8363-f5f36dbee105,4a109fda-4764-4495-b42c-584df3022e56,2026-01-02,119 N Calaveras St Fresno, CA 93701,1900 N Gateway Blvd  Fresno, CA, 93727,015-000 CA Fresno Admin,Back to admin[...]
85038351-0f2d-40a6-8ece-89685cedb0b7,4a109fda-4764-4495-b42c-584df3022e56,2026-01-26,1900 N Gateway Blvd  Fresno, CA, 93727,2772 S. Martin Luther King Blvd   Fresno, CA, 93706,015-064 CA Fresno MLK,[...]
b2c4e89f-0cb7-455a-b65f-b4362c845f98,4a109fda-4764-4495-b42c-584df3022e56,2026-01-28,2772 S. Martin Luther King Blvd   Fresno, CA, 93706,1900 N Gateway Blvd  Fresno, CA, 93727,015-064 CA Fresno MLK,[...]
d3728711-6b9f-4bc2-8671-39e06431863d,4a109fda-4764-4495-b42c-584df3022e56,2026-01-28,1900 N Gateway Blvd  Fresno, CA, 93727,2772 S. Martin Luther King Blvd   Fresno, CA, 93706,015-064 CA Fresno MLK,[...]
91d1a44e-f877-4208-8d51-6b21d5a12f5d,4a109fda-4764-4495-b42c-584df3022e56,2026-02-03,1900 N Gateway Blvd  Fresno, CA, 93727,611 E. Belmont Ave Fresno, CA, 93701,015-016-Fresno-Belmont,Deploying lap[...]
d10f5e27-5199-4158-b1df-c6e6e3c474e4,47ff3a60-cb8d-445a-a31d-bc6841c6db37,2026-01-28,1900 N Gateway Blvd  Fresno, CA, 93727,Address   2291 W March LN Stockton, CA 95207,013-008 CA Stockton SJVV,IT[...]
255b35bf-f099-473b-b480-8c07b8bdcd66,47ff3a60-cb8d-445a-a31d-bc6841c6db37,2026-01-28,Address   2291 W March LN Stockton, CA 95207,1900 N Gateway Blvd  Fresno, CA, 93727,013-008 CA Stockton SJVV,IT[...]
